,country,designation,points,price,province,region_1,region_2,variety,winery
0,US,Martha's Vineyard,96,235,California,Napa Valley,Napa,Cabernet Sauvignon,Heitz
1,Spain,Carodorum Selección Especial Reserva,96,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
2,US,Special Selected Late Harvest,96,90,California,Knights Valley,Sonoma,Sauvignon Blanc,Macauley
3,US,Reserve,96,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
4,France,La Brûlade,95,66,Provence,Bandol,,Provence red blend,Domaine de la Bégude
5,Spain,Numanthia,95,73,Northern Spain,Toro,,Tinta de Toro,Numanthia
6,Spain,San Román,95,65,Northern Spain,Toro,,Tinta de Toro,Maurodos
7,Spain,Carodorum Único Crianza,95,110,Northern Spain,Toro,,Tinta de Toro,Bodega Carmen Rodríguez
8,US,Silice,95,65,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Bergström
9,US,Gap's Crown Vineyard,95,60,California,Sonoma Coast,Sonoma,Pinot Noir,Blue Farm
10,Italy,Ronco della Chiesa,95,80,Northeastern Italy,Collio,,Friulano,Borgo del Tiglio
11,US,Estate Vineyard Wadensvil Block,95,48,Oregon,Ribbon Ridge,Willamette Valley,Pinot Noir,Patricia Green Cellars
12,US,Weber Vineyard,95,48,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Patricia Green Cellars
13,France,Château Montus Prestige,95,90,Southwest France,Madiran,,Tannat,Vignobles Brumont
14,US,Grace Vineyard,95,185,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Serene
15,US,Sigrid,95,90,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Bergström
16,US,Rainin Vineyard,95,325,California,Diamond Mountain District,Napa,Cabernet Sauvignon,Hall
17,Spain,6 Años Reserva Premium,95,80,Northern Spain,Ribera del Duero,,Tempranillo,Valduero
18,France,Le Pigeonnier,95,290,Southwest France,Cahors,,Malbec,Château Lagrézette
19,US,Gap's Crown Vineyard,95,75,California,Sonoma Coast,Sonoma,Pinot Noir,Gary Farrell
20,US,Grignolino,95,24,California,Napa Valley,Napa,Rosé,Heitz
21,Spain,Prado Enea Gran Reserva,95,79,Northern Spain,Rioja,,Tempranillo Blend,Muga
22,Spain,Termanthia,95,220,Northern Spain,Toro,,Tinta de Toro,Numanthia
23,US,Giallo Solare,95,60,California,Edna Valley,Central Coast,Chardonnay,Center of Effort
24,US,R-Bar-R Ranch,95,45,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Comartin
25,New Zealand,Maté's Vineyard,94,57,Kumeu,,,Chardonnay,Kumeu River
26,US,Shea Vineyard,94,62,Oregon,Willamette Valley,,Pinot Noir,Bergström
27,US,Abetina,94,105,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Ponzi
28,US,Garys' Vineyard,94,60,California,Santa Lucia Highlands,Central Coast,Pinot Noir,Roar
29,US,The Funk Estate,94,60,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Saviah
30,Bulgaria,Bergulé,90,15,Bulgaria,,,Mavrud,Villa Melnik
31,US,Babushka,90,37,California,Russian River Valley,Sonoma,Chardonnay,Zepaltas
32,Italy,Vigna Piaggia,90,,Tuscany,Brunello di Montalcino,,Sangiovese,Abbadia Ardenga
33,France,Nonpareil Trésor Rosé Brut,90,22,France Other,Vin Mousseux,,Sparkling Blend,Bouvet-Ladubay
34,US,Conner Lee Vineyard,90,42,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Buty
35,Italy,Riserva,90,135,Tuscany,Brunello di Montalcino,,Sangiovese,Carillon
36,France,,90,60,Rhône Valley,Châteauneuf-du-Pape,,Rhône-style White Blend,Clos de L'Oratoire des Papes
37,Italy,,90,29,Tuscany,Vino Nobile di Montepulciano,,Sangiovese,Avignonesi
38,Italy,,90,23,Tuscany,Chianti Classico,,Sangiovese,Casina di Cornia
39,Italy,Riserva,90,29,Tuscany,Chianti Classico,,Red Blend,Castello di Monterinaldi
40,Spain,Amandi,90,17,Galicia,Ribeira Sacra,,Mencía,Don Bernardino
41,Spain,Alfonso Oloroso Seco,90,26,Andalucia,Jerez,,Palomino,González Byass
42,US,Private Reserve,90,55,Idaho,,,Petite Sirah,Huston
43,Italy,Riserva,90,39,Tuscany,Chianti Classico,,Red Blend,Rignana
44,France,Coteaux,90,69,Rhône Valley,Cornas,,Syrah,Tardieu-Laurent
45,Italy,Vigneto Odoardo Beccari Riserva,90,30,Tuscany,Chianti Classico,,Red Blend,Vignavecchia
46,Italy,Poggio alle Mura,90,90,Tuscany,Brunello di Montalcino,,Sangiovese,Banfi
47,US,Estate Grown,90,60,California,Mount Veeder,Napa,Cabernet Sauvignon,Brandlin
48,Italy,,90,50,Tuscany,Brunello di Montalcino,,Sangiovese,Brunelli Martoccia
49,US,,90,40,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,Canvasback
50,Italy,Riserva,90,100,Tuscany,Brunello di Montalcino,,Sangiovese,Capanne Ricci
51,France,,90,68,Burgundy,Chassagne-Montrachet,,Chardonnay,Chartron et Trébuchet
52,France,Les 7 Hommes,90,42,Loire Valley,Sancerre,,Sauvignon Blanc,Cherrier Frères
53,France,L'Inédit,90,28,Loire Valley,Coteaux du Giennois,,Pinot Noir,Clement et Florian Berthier
54,US,,90,18,California,Russian River Valley,Sonoma,Chardonnay,De Loach
55,US,Four Flags,90,69,Washington,Red Mountain,Columbia Valley,Cabernet Sauvignon,DeLille
